epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1585,1.27357,3.58612,1.67808,0.62167,0.28924,0.39254,0.21886,1.31165,3.58897,1.95472,0.0003875,0.0003875,0.0003875
2,60.1626,1.28027,1.95503,1.67072,0.21287,0.5975,0.34083,0.20282,1.49961,7.24806,2.3324,0.000709538,0.000709538,0.000709538
3,72.5771,1.28287,1.61315,1.6454,0.69839,0.36072,0.30503,0.15459,1.882,4.31464,2.70958,0.000952375,0.000952375,0.000952375
4,84.656,1.33502,1.66245,1.6752,0.48547,0.28671,0.29959,0.17483,1.68045,3.80956,2.49869,0.00087875,0.00087875,0.00087875
5,97.0804,1.28514,1.50829,1.64334,0.53685,0.43621,0.46646,0.2942,1.35853,2.39785,1.95033,0.000755,0.000755,0.000755
6,109.609,1.21273,1.37456,1.57126,0.59422,0.67884,0.67411,0.43969,1.28037,1.84213,1.78263,0.00063125,0.00063125,0.00063125
7,122.333,1.17085,1.22456,1.53976,0.73666,0.6936,0.73956,0.48021,1.24174,1.35224,1.68007,0.0005075,0.0005075,0.0005075
8,135.046,1.13473,1.11657,1.47113,0.76281,0.76962,0.79457,0.54987,1.15111,1.20954,1.61448,0.00038375,0.00038375,0.00038375
9,147.726,1.09377,1.11579,1.46802,0.69325,0.82283,0.84465,0.60129,1.13172,1.07902,1.56915,0.00026,0.00026,0.00026
10,160.468,1.01367,0.99433,1.3765,0.88818,0.78811,0.86666,0.63486,1.03004,0.93409,1.51434,0.00013625,0.00013625,0.00013625
